,abs_correlation
ipmi_inlet_temp,0.6717837480325836
temp_coretemp_Core 8_c,0.6662107116905928
temp_coretemp_Core 8_c_sock1,0.6662107116905928
temp_coretemp_Core 12_c_sock1,0.6658360666537634
temp_coretemp_Core 12_c,0.6658360666537634
temp_coretemp_Core 9_c,0.6650985713281224
temp_coretemp_Core 9_c_sock1,0.6650985713281224
temp_coretemp_Core 10_c,0.6649528919209718
temp_coretemp_Core 11_c,0.6647352551107185
temp_coretemp_Core 11_c_sock1,0.6647352551107185
ipmi_exhaust_temp,0.6639358479988843
temp_coretemp_Core 3_c,0.6634110654645643
temp_coretemp_Core 3_c_sock1,0.6634110654645643
ipmi_temp,0.6631532748139702
temp_coretemp_Core 13_c,0.6631106295320822
temp_coretemp_Core 13_c_sock1,0.6631106295320822
temp_coretemp_Core 1_c_sock1,0.6629048310772732
temp_coretemp_Core 1_c,0.6629048310772732
temp_coretemp_Core 4_c_sock1,0.6626104439508931
temp_coretemp_Core 4_c,0.6626104439508931
temp_coretemp_Core 6_c_sock1,0.6625638581288158
temp_coretemp_Core 6_c,0.6625638581288158
temp_coretemp_Package id 0_c,0.662438354457438
tz_x86_pkg_temp_1_c,0.6616505091955134
temp_coretemp_Core 5_c_sock1,0.66149635285282
temp_coretemp_Core 5_c,0.66149635285282
temp_coretemp_Core 2_c,0.6614320847519857
tz_x86_pkg_temp_2_c,0.6594687855900688
temp_coretemp_Core 0_c_sock1,0.6591492925003011
temp_coretemp_Core 0_c,0.6591492925003011
temp_coretemp_Package id 1_c,0.6589354293555658
temp_pch_lewisburg_temp1_c,0.6546673712687906
tz_pch_lewisburg_0_c,0.6533526762886946
mem_free_kb,0.47774450484224723
mem_cached_kb,0.47666981456174484
mem_buffers_kb,0.42968229110977113
ipmi_fan3,0.38924067541464247
ipmi_fan5,0.3398799485681331
ipmi_current_2,0.30981839809479345
ipmi_voltage_1,0.3015584790131484
ipmi_voltage_2,0.2858554308109457
ipmi_fan1,0.12752101755953016
ipmi_fan2,0.11902101087272214
cpu24_freq_mhz,0.0948506408147673
cpu34_freq_mhz,0.08291263526766965
ipmi_pwr_consumption,0.057900274275246834
ipmi_fan4,0.04826327966649625
cstate_cpu1_C1E_us,0.04270842508319936
rapl_dram_uj_dup3,0.04073283487397006
rapl_dram_uj_dup2,0.04073283487397006
rapl_dram_uj_sock1,0.04073283487397006
rapl_dram_uj,0.04073283487397006
cstate_cpu1_C6_us,0.04037608693158549
ipmi_fan6,0.03827419441055144
cstate_cpu3_C1_us,0.03402667191264723
cpu39_freq_mhz,0.019559773221990887
loadavg_1m,0.019478921893097353
loadavg_5m,0.01671817511107362
cpu1_freq_mhz,0.014844322571649061
mem_available_kb,0.014175263031325946
cstate_cpu3_C1E_us,0.014105202579344084
mem_dirty_kb,0.013368217337885771
ipmi_current_1,0.01335276460937037
cpu7_freq_mhz,0.012699468932492837
loadavg_15m,0.012460699799138287
cpu17_freq_mhz,0.010634604351928464
cpu15_freq_mhz,0.010530270284682286
cpu_user_pct,0.010378285720501998
cstate_cpu3_C6_us,0.010026482187146921
cpu_idle_pct,0.00950713465910095
net_eno1np0_rx_bytes,0.007266605184676177
net_eno1np0_rx_packets,0.007250180095716421
cstate_cpu3_POLL_us,0.007133105131444046
cstate_cpu2_POLL_us,0.007060523849460198
cpu5_freq_mhz,0.006817474125106892
cstate_cpu1_POLL_us,0.006776030665329629
net_eno1np0_tx_bytes,0.0064868258982450884
cpu19_freq_mhz,0.0057190751843736575
cpu_sys_pct,0.005682404263331242
cpu23_freq_mhz,0.005616855323590881
cpu20_freq_mhz,0.005471287179933858
cpu41_freq_mhz,0.0054401904555894534
cpu46_freq_mhz,0.005262366860879186
cpu13_freq_mhz,0.0052572552846072
cpu25_freq_mhz,0.005130599812862635
cpu3_freq_mhz,0.0050684909642344025
disk_sda_write_sectors,0.00474507338634459
cpu18_freq_mhz,0.004675301473364472
cpu_iowait_pct,0.004370405392113744
disk_sda_reads,0.004067326347309945
cpu8_freq_mhz,0.003447470944148426
disk_sda_read_sectors,0.003256605313550671
cpu28_freq_mhz,0.0031331230378203703
cpu14_freq_mhz,0.0030994903018886867
net_eno1np0_tx_packets,0.0030450811775463065
cpu43_freq_mhz,0.0029537235853184496
cstate_cpu2_C1E_us,0.002807588535755902
cpu10_freq_mhz,0.0025934784976872744
cpu38_freq_mhz,0.002537337244717424
cpu11_freq_mhz,0.002385369315267442
cstate_cpu2_C6_us,0.002346818608193748
cpu40_freq_mhz,0.0023340648683708104
cpu32_freq_mhz,0.002179407861838501
cpu16_freq_mhz,0.0020716277299550026
cpu30_freq_mhz,0.0020534343096946517
procs_blocked,0.001989778129398435
cpu4_freq_mhz,0.0019773666797983573
cpu12_freq_mhz,0.0019236354249180518
cpu45_freq_mhz,0.001896093037654226
cpu9_freq_mhz,0.0018030378425424307
cpu2_freq_mhz,0.0017518436906455218
cpu35_freq_mhz,0.0016088772058784045
cpu27_freq_mhz,0.0015655637273454905
cpu37_freq_mhz,0.0015597563487016913
cpu44_freq_mhz,0.0014307369456782923
procs_running,0.001305822077787552
cpu26_freq_mhz,0.0012826159739430442
cpu47_freq_mhz,0.001264595055627722
cpu0_freq_mhz,0.0011090081466474874
cpu33_freq_mhz,0.0010848777017668123
cstate_cpu0_C1E_us,0.000976915806632907
cstate_cpu0_C6_us,0.0008698224692699049
cpu42_freq_mhz,0.0008321452602161844
disk_sda_writes,0.0008136362389651227
cstate_cpu2_C1_us,0.000771713829595376
rapl_package-0_uj,0.0007465683707446052
cstate_cpu0_C1_us,0.0007211961152604573
cpu29_freq_mhz,0.0006801288269819079
cstate_cpu1_C1_us,0.0006686449323448803
ctxt,0.00047142755209598835
cpu21_freq_mhz,0.00044846458499903845
intr,0.0004285834928605652
cpu22_freq_mhz,0.000404042970336821
cpu31_freq_mhz,0.0003564590279260014
cstate_cpu0_POLL_us,0.00027806090011247333
cpu6_freq_mhz,0.00013879557829213108
rapl_package-1_uj,8.177561991710125e-05
cpu36_freq_mhz,8.046369161281768e-05
